33,"Which of the following is single line comment in PHP ?
	",#This is comment,;This is comment,None of these,//This is comment,4,text,0,8/20/2015 7:41
35,1440056670php4.PNG,a,b,c,d,4,image,0,8/20/2015 7:44
36,PHP stands for ?,Perl HTML preprocessor,HTML preprocessor,Hypertext Preprocessor,None of these,3,text,0,8/20/2015 8:15
37,Choose the correct one ?,PHP supports multi inheritence,PHP supports single inheritence,Both (a) and (b),None,2,text,0,8/20/2015 8:16
40,1440059145php5.PNG,a,b,c,d,2,image,0,8/20/2015 8:25
41,$_GLOBAL is a ____ and it references ______ ?,"Super global, all variable with global scope.","Local array, all variable with global scope.","Local array, all variable with global and local scope.",Not an Array.,1,text,0,8/20/2015 8:30
42,Which one is correct statement about $_FILES ?,It is an associative array of items uploaded via GET method.,It is an associative array of items uploaded via POST method.,It is an associative array of items uploaded via POST and GET method.,None of these,2,text,0,8/20/2015 8:33
43,1440059646php6.PNG,a,b,c,d,1,image,0,8/20/2015 8:34
44,Comparision if ($a===$b) returns?,TRUE if both values are same.,TRUE if both values as well as datatypes are same.,TRUE in all conditions,None of the above,2,text,0,8/20/2015 8:35
45,1440059772php7.PNG,a,b,c,d,1,image,0,8/20/2015 8:36
46,What is the default session time in PHP ?,30 minutes,60 minutes,Untill closing of a browser,None of these,3,text,0,8/20/2015 8:37
47,Function file_get_contents() are used to ?,Read entire file as an object.,Read entire file as a string.,Read entire file as a array.,Read the contents and return a pointer to a file.,2,text,0,8/20/2015 8:39
49,Correct way to invoke a method in a class is?,object->methodName();,$object->methodName();,$object>methodName();,$object<methodName();,2,text,0,8/20/2015 8:42
51,"If the class name is Calculate, right way to call a constant is	?",echo Calculate->g;, echo $g;,echo Calculate::g,echo Calculate<-g,3,text,0,8/20/2015 8:44
52,"If a class name is Library, how to instantiate an object, choose the correct one?",$object=new Library();,$object=Library();,object=new Library;,object=new $Library();,1,text,0,8/20/2015 8:45
53,PHP declares constructor by the name?,__construct();,className();,function construct();,function __construct();,4,text,0,8/20/2015 8:46
55,The keyword used to refer to properties/methods within a class is?,final,public,this,static,4,text,0,8/20/2015 8:48
56,"If you want your member(functions/variabes) to be accessible
within class itself only, that member is declared as?",Protected,public,private,final,3,text,0,8/20/2015 8:49
57,"If you want your member(functions/variabes) to be accessible
everywhere(outside the class), that member is declared as?",Protected,public,private,static,2,text,0,8/20/2015 8:51
58,"If you want your member (functions/variabes) to be accessible
within a class as well as inherited class only that member is declared as?",Protected,constant,private,final,1,text,0,8/20/2015 8:52
